Years,CO2
1750,9350528
1751,9350528
1752,9354192
1753,9354192
1754,9357856
1755,9361520
1756,10006384
1757,10010048
1758,10013712
1759,10017376
1760,10017376
1761,10973680
1762,10977344
1763,10981008
1764,10984672
1765,10988336
1766,12259744
1767,12263408
1768,12267072
1769,12270736
1770,12274400
1771,13611760
1772,13615424
1773,13619088
1774,13622752
1775,13626416
1776,15037056
1777,15040720
1778,15044384
1779,15048048
1780,15055376
1781,16843408
1782,16847072
1783,16854400
1784,16858064
1785,16869056
1786,19151728
1787,19159056
1788,19162720
1789,19170048
1790,19177376
1791,21419744
1792,21896064
1793,21914384
1794,21881408
1795,21892400
1796,22951296
1797,24094464
1798,25094736
1799,26428432
1800,28091888
1801,27959984
1802,36782896
1803,31488416
1804,34309696
1805,33419346
1806,35046160
1807,36874496
1808,35064480
1809,35090130
1810,37380130
1811,39582190
1812,41007490
1813,41220000
1814,42128670
1815,43488016
1816,47664976
1817,49431024
1818,49643536
1819,49947650
1820,50687776
1821,51435230
1822,53465090
1823,56550176
1824,58525070
1825,60756450
1826,61419630
1827,65915360
1828,66637170
1829,66395348
1830,89123140
1831,84528480
1832,85111060
1833,86807490
1834,88485600
1835,90445840
1836,104775740
1837,104691470
1838,108044030
1839,111612770
1840,118929780
1841,122619420
1842,129504070
1843,132852984
1844,141423070
1845,155210700
1846,157793820
1847,172402190
1848,173816500
1849,183511440
1850,196896030
1851,198804980
1852,207550940
1853,217209250
1854,255138980
1855,260165980
1856,277291520
1857,279889280
1858,284171300
1859,301311650
1860,330641280
1861,347734530
1862,354056670
1863,377859070
1864,407090300
1865,432306980
1866,445969700
1867,477814900
1868,490752500
1869,521130750
1870,532536740
1871,566143000
1872,626371800
1873,665419100
1874,622997250
1875,675799100
1876,685552700
1877,699098500
1878,704379200
1879,754867200
1880,853704640
1881,882405060
1882,931921900
1883,991032400
1884,1002174300
1885,1009671360
1886,1025475460
1887,1076757800
1888,1192271900
1889,1191799600
1890,1298458200
1891,1358873900
1892,1370088300
1893,1353668700
1894,1400857700
1895,1485272600
1896,1533701400
1897,1606300500
1898,1694265700
1899,1850798100
1900,1952209500
1901,2016744400
1902,2067684100
1903,2254094800
1904,2279748900
1905,2427313200
1906,2534734300
1907,2888308000
1908,2776404200
1909,2890468000
1910,3033820000
1911,3079214800
1912,3235538400
1913,3505865200
1914,3179912400
1915,3134378200
1916,3385277400
1917,3539852500
1918,3492840000
1919,3028560000
1920,3521062400
1921,3089464300
1922,3239735800
1923,3675398000
1924,3686099200
1925,3725636600
1926,3659297000
1927,3993753900
1928,3976071200
1929,4267657200
1930,3934730000
1931,3516940500
1932,3170800600
1933,3338349300
1934,3630765300
1935,3811112000
1936,4181088300
1937,4469369300
1938,4201279700
1939,4445443000
1940,4854657500
1941,4965649000
1942,4953623600
1943,5035077000
1944,5110656000
1945,4250264000
1946,4638339000
1947,5138490000
1948,5415709700
1949,5245849000
1950,6003272000
1951,6379796500
1952,6465727000
1953,6647763000
1954,6789969000
1955,7443244000
1956,7924253000
1957,8185547000
1958,8417624000
1959,8856221000
1960,9387668000
1961,9418460000
1962,9751059000
1963,10271655000
1964,10829612000
1965,11317596000
1966,11866933000
1967,12244029000
1968,12910892000
1969,13767398000
1970,14898716000
1971,15505496000
1972,16228730000
1973,17086194000
1974,17017476000
1975,17054627000
1976,17991887000
1977,18502846000
1978,19077194000
1979,19618464000
1980,19501263000
1981,19036117000
1982,18884487000
1983,19006540000
1984,19664755000
1985,20325487000
1986,20627360000
1987,21273905000
1988,22107795000
1989,22410402000
1990,22757480000
1991,23244806000
1992,22580023000
1993,22812901000
1994,22969498000
1995,23458714000
1996,24159384000
1997,24302584000
1998,24213260000
1999,24732390000
2000,25453623000
2001,25668049000
2002,26281038000
2003,27651596000
2004,28636695000
2005,29614602000
2006,30593118000
2007,31506788000
2008,32085836000
2009,31564032000
2010,33364347000
2011,34487013000
2012,35006270000
2013,35319200000
2014,35577537000
2015,35558568000
2016,35524190000
2017,36096737000
2018,36826510000
2019,37082560000
2020,35264086000
2021,37123850000
